# n(z) estimate with symmetric 68% percentile confidence
#   (z_low    z_high]         nz     nz_err
 1.8543930  1.9116700        nan        nan
 1.9116700  1.9689471 -0.2159934  1.8296049
 1.9689471  2.0262241 -0.2530795  3.0232911
 2.0262241  2.0835012 -0.3334238  5.2892270
 2.0835012  2.1407783 -0.5457343  1.3301745
 2.1407783  2.1980553 -0.4211103  2.3952005
 2.1980553  2.2553324 -0.9632444  4.1555165
 2.2553324  2.3126094 -0.3204474  2.3288936
 2.3126094  2.3698865 -0.7400894  2.3273416
 2.3698865  2.4271636 -0.6071190  2.8067690
 2.4271636  2.4844406 -0.6682757  1.9451088
 2.4844406  2.5417177 -0.5450351  1.6288197
 2.5417177  2.5989947 -0.3772937  4.3428600
 2.5989947  2.6562718 -0.0872804  2.3617882
 2.6562718  2.7135488 -0.5511689  2.4727296
 2.7135488  2.7708259 -0.1720423  2.7374143
 2.7708259  2.8281030 -0.4927341  4.7485741
 2.8281030  2.8853800  0.0811786  7.3233228
 2.8853800  2.9426571 -0.0718808  2.5993032
 2.9426571  2.9999341        nan        nan
